AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$42439.09;1/6/11;WVSA SCHOOL FOR ARTS;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62;$189216.00;1/6/11;THE COMMUNITY PARTNERSHIP\HOME;WASHINGTON  ;DC
DEPARTMENT OF MOTOR VEHICLES;DRIVER'S LICENSE SERVICES 32;$3159.50;1/6/11;MVS, INC.;WASHINGTON  ;DC
DEPART OF YOUTH REHABILITATION SERVICES;VIDEO GAME MACHINES 88;$3758.30;1/6/11;MVS, INC.;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;EQUIPMENT, HEAVY 36;$272838.00;1/6/11;MARYLAND INDUSTRIAL TRUCKS;LINTHICUM  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$800000.00;1/6/11;HESS CONSTRUCTION CO. INC.;GAITHERSBURG  ;MD
DEPART OF YOUTH REHABILITATION SERVICES;TANK INSTALLATION, REMOVAL, DISPOSAL, AND RELATED SERVICES (INCLUDING SEPTIC AND  UNDERGROUND TYPE) 78;$14625.00;1/6/11;UNITED GENERAL CONTRACTOR;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62;$50303.59;1/6/11;PSYCHIATRIC INST OF WASH;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;HOSPITAL SERVICES, INPATIENT AND OUTPATIENT 46;$149760.00;1/6/11;WISCONSIN AVE PSYCHIATRIC CENT;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$12000.00;1/6/11;WR HARRIS GROUP;ARLINGTON  ;VA
DEPARTMENT OF PARKS AND RECREATION;COTTER PINS, CLEVIS PINS, DOWEL PINS, SPRING PINS, TAPER PINS, AND WOODRUFF KEYS AND SNAPS 35;$6000.00;1/6/11;GENERAL MERCHANDISE SUPPLIES;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SHIRTS, DRESS AND CASUAL 70;$4758.60;1/6/11;LIFE INFINITE LLC;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38;$5801.04;1/6/11;XEROX CORPORATION;ROCHESTER  ;NY
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$7750.00;1/6/11;BEDD GROUP LLC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COVERS: BRIEF, MANUSCRIPT, PRESSBOARD, REPORT, ETC. 31;$17500.00;1/6/11;WILSON LANGUAGE TRAINING CORP.;OXFORD  ;MA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$108800.00;1/6/11;AMERICAN READING COMPANY;KING OF PRUSSIA  ;PA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$160870.00;1/6/11;DI DOMENICO & PARTNERS, LLP;LONG ISLAND CITY   ;NY
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$194980.00;1/6/11;DI DOMENICO & PARTNERS, LLP;LONG ISLAND CITY   ;NY
DEPARTMENT OF MOTOR VEHICLES;DECAL PRINTING 22;$10000.00;1/6/11;SECUREMARK DECAL CORP.;CHICAGO  ;IL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$475000.00;1/6/11;INCAPSULATE, LLC;VIENNA  ;VA
OFFICE OF VICTIM SERVICES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$12000.00;1/7/11;INGA JAMES DBA/IJAY CONSULTING;TAKOMA PARK  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$16166.56;1/7/11;SHARP ELECTRONICS CORPORATION;MAHWAH  ;NJ
DEPART OF INSURANCE,SECURITIES & BANKING;APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07;$72794.00;1/7/11;AC0 INFORMATION SERVICES, LLC;MOBILE  ;AL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, DIRECTORIES, MAGAZINES, PAMPHLETS, PUBLICATIONS, REPRINTS, ETC. 10;$21906.80;1/7/11;HAMPTON BROWN BOOKS;MONTEREY  ;CA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$12619.00;1/7/11;VISION SECURITY SOLUTION;WASHINGTON   ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SCHOOL EQUIPMENT AND SUPPLIES RENTAL OR LEASE 65;$6998.00;1/7/11;PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4900.00;1/7/11;DEBORAH MITCHELL PARKER;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$4347.85;1/7/11;APPLE COMPUTER INC;CUPERTINO  ;CA
METROPOLITAN POLICE DEPARTMENT;FIRST AID AND SAFETY EQUIPMENT (EXCEPT NUCLEAR AND WELDING) MAINTENANCE AND REPAIR 38;$17695.65;1/7/11;PHYSIO-CONTROL CORPORATION;REDMOND  ;WA
OFFICE OF TENANT ADVOCATE;COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WORD PROCESSING EQUIPMENT), MAINTENANCE AND REPAIR 21;$8000.00;1/7/11;MERIDIAN IMAGING SOLUTIONS;ALEXANDRIA  ;VA
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$3960.00;1/7/11;JACKSON & ASSOCIATES INC;BALTIMORE  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;INSPECTION SERVICES, CONSTRUCTION TYPE 47;$496675.00;1/7/11;VERIZON;SILVER SPRING  ;MD
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$3120.00;1/7/11;FLORIDA INSTITUTE TECHNOLOGY;MELBOURNE  ;FL
DEPARTMENT OF GENERAL SERVICES;ELECTRICAL EQUIPMENT (EXCEPT CABLE AND WIRES, AND LIGHTING FIXTURES) MAINTENANCE AND REPAIR 25;$9738.00;1/7/11;M C DEAN INC;DULLES  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$130114.59;1/7/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$11690.28;1/7/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;BUSINESS CARDS PRINTED 07;$4800.00;1/7/11;RANSAR BUSINESS SERVICES INC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$9288.00;1/7/11;FRANK PARSON PAPER COMPANY;HANOVER  ;MD
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$38000.00;1/7/11;PATRICIA M. LOVELADY;HAMILTON  ;VA
METROPOLITAN POLICE DEPARTMENT;HORSES 70;$5300.00;1/7/11;H.C. SUMMERS INC;JEFFERSON  ;MD
DEPARTMENT OF CORRECTIONS;BAGS AND LINERS, PLASTIC: GARBAGE CAN LINERS, JANITOR CART LINERS, LINEN HAMPER LINERS, LITTER BAGS, POLYETHYLENE BAGS, ETC. 24;$2920.00;1/7/11;MTW DISTRIBUTORS INC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$1507803.45;1/7/11;ANCHOR MENTAL HEALTH ASSN. INC;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION CONSULTING 31;$284028.09;1/7/11;FLIPPO CONSTRUCTION CO., INC.;FORESTVILLE  ;MD
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$4466.00;1/7/11;CAPITOL COLLEGE;LAUREL  ;MD
DEPARTMENT OF GENERAL SERVICES;COMMUNICATIONS EQUIPMENT MANUFACTURING SERVICES 35;$9182.18;1/7/11;MVS, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64;$13219.37;1/7/11;MVS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24;$3000.00;1/7/11;CORPORATE EXPRESS EXEC COURIER;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$120973.03;1/7/11;PAUL JUNIOR HIGH PCS;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;ENGINEERING CONSULTING 42;$2000000.00;1/7/11;HNTB DISTRICT OF COLUMBIA PC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MEMBERSHIP DUES 48;$15000.00;1/7/11;DC HOSPITAL ASSOCIATION;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MEMBERSHIP DUES 48;$20560.00;1/7/11;DC HOSPITAL ASSOCIATION;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$53112.94;1/7/11;ENVIRONMENTAL DESIGN &;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$111679.16;1/7/11;MAYA ANGELOU PCS;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$139929.00;1/7/11;THE DOWNTOWN CLUSTER'S;WASHINGTON  ;DC
HOMELAND SECURITY GRANTS;FIRE AND POLICE EQUIPMENT (NOT OTHERWISE CLASSIFIED) 42;$14368.00;1/7/11;THE PITTMAN GROUP INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$2965.00;1/7/11;STUDY ISLAND;DALLAS  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$21623.00;1/7/11;DISCOVERY EDUCATION, INC.;SILVER SPRING  ;MD
D.C. SENTENCING & CRIM. CODE REV. COMM.;APPLICATIONS SOFTWARE (FOR MINICOMPUTER SYSTEMS) 14;$27000.00;1/7/11;CROSS CURRENT CORP.;NEW HOPE  ;PA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$4840.00;1/7/11;LONG VIEW ASSOCIATES LLC;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;UNIFORMS, SYNTHETIC FABRIC 87;$230729.80;1/7/11;MORGANS INC;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$980995.79;1/7/11;AFRICAN HERITAGE DANCERS &;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;ELECTRICAL SUPPLIES 37;$5000.00;1/7/11;DOMINION ELECTRIC SUPPLY CO. O;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;SOFTWARE MAINTENANCE/SUPPORT 45;$43069.67;1/7/11;XEROX CORPORATION;ROCHESTER  ;NY
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, DIRECTORIES, MAGAZINES, PAMPHLETS, PUBLICATIONS, REPRINTS, ETC. 10;$2799.54;1/7/11;SCHOLASTIC, INC.;NEW YORK  ;NY
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$5490.00;1/7/11;GRADUATE SCHOOL USDA;WASHINGTON  ;DC
OFFICE OF EMPLOYEE APPEALS;PRINTERS AND PLOTTERS, COMPUTER (ALL TYPES), RENTAL OR LEASE 60;$3850.68;1/7/11;GENERAL ELECTRIC CAPITAL CORP;SHAWNEE MISSION  ;KS
MUNICIPAL FACILITIES: NON-CAPITAL;GUARD AND SECURITY SERVICES 46;$4795.25;1/7/11;RAPISCAN SYSTEMS;HAWTHORNE  ;CA
DEPARTMENT OF PUBLIC WORKS;EQUIPMENT, HEAVY 36;$270000.00;1/7/11;LINDSAY FORD LLC;WHEATON  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4000.00;1/7/11;CATHY G. CROCKER;BURKE  ;VA
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$3250.00;1/7/11;AMERICAN PUBLIC UNIVERSITY SYS;CHARLES TOWN  ;WV
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$9120.00;1/7/11;ANA MARIA RAMOS-KOHN;WASHINGTON  ;DC
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$3258.00;1/7/11;ASHFORD UNIVERSITY LLC;POWAY  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADVERTISING/PUBLIC RELATIONS 03;$2995.00;1/7/11;CAREER PUBLISHING GROUP INC;ACWORTH  ;GA
OFFICE OF THE CHIEF MEDICAL EXAMINER;LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62;$3600.00;1/8/11;NOVA BIOMEDICAL CORPORATION;WALTHAM  ;MA
DEPARTMENT OF HEALTH;CHEMICAL TESTING SERVICES (FOR LABORATORY TESTING, SEE 962-22) 31;$5640.00;1/10/11;ORGANIC STANDARD SOLUTIONS INT;CHARLESTON  ;SC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$17008.00;1/10/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$7182.40;1/10/11;ADVANCED LEARNING CENTERS;ENGLEWOOD  ;CO
CHILD AND FAMILY SERVICES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$20000.00;1/10/11;SARA MACK;SILVER SPRING  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$186216.80;1/10/11;TREE OF LIFE COMMUNITY PCS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$49827.65;1/10/11;TREE OF LIFE COMMUNITY PCS;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$185301.95;1/10/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$119233.69;1/10/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$15324.80;1/10/11;OST, INC.;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67;$18708.40;1/10/11;DHHS, PSC, DPM;ROCKVILLE  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$14587.00;1/10/11;BIG INCORPORATED;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, STREET LIGHTING 32;$80166.78;1/10/11;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, HIGHWAY AND ROAD 27;$1091476.27;1/10/11;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72;$5580.46;1/10/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;POSTAGE METER SUPPLIES 80;$3070.47;1/10/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4620.63;1/10/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$10273.59;1/10/11;LATIN AMERICAN MONTESSORI;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15;$5000.00;1/10/11;DUTCHMILL CATERERS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$200000.00;1/10/11;ADVOCATES FOR JUSTICE & ED.;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86;$20966.40;1/10/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;ELECTRIC FENCE CONTROLLERS AND ACCESSORIES 30;$4963.48;1/10/11;PRO TECH SYSTEMS OF MD, INC;LAUREL  ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$280000.00;1/10/11;NATIONAL CAPITAL POISON CENTER;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$180052.02;1/10/11;WASHINGTON MATH SCIENCE PCHS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$54503.16;1/10/11;WASHINGTON MATH SCIENCE PCHS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$40090.63;1/10/11;TWO RIVERS PCS;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$581957.00;1/10/11;MCDONNELL LANDSCAPING INC;BROOKEVILLE  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$22413.00;1/10/11;FORNEY ENTERPRISES, INC.;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$20066.00;1/10/11;FORNEY ENTERPRISES, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$2658.00;1/10/11;STUDY ISLAND;DALLAS  ;TX
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$152000.00;1/10/11;CHILDRENS NATIONAL MEDICAL CTR;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$780224.00;1/10/11;DISTRICT DEVELOPMENT GROUP-HAM;ELKRIDGE   ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$8731.34;1/10/11;INFINITY SOLUTIONS, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$17611.24;1/10/11;WASHINGTON YU YING PUBLIC CHAR;WASHINGTON  ;DC
OFFICE OF MUNICIPAL PLANNING;PLANNING, URBAN (COMMUNITY, REGIONAL, AREAWIDE, AND STATE) 64;$242141.00;1/10/11;DMJM & HARRIS INC;LOS ANGELES  ;CA
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$69847.00;1/10/11;JCO RAND* CONSTRUCTION;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;RECYCLED PENS AND PENCILS 94;$15000.00;1/10/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$37293.86;1/10/11;CORP./WASH. LATIN SCHOOL;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;LABORATORY EQUIPMENT AND ACCESSORIES: SPECIALIZED, BIOCHEMISTRY, BIOLOGY, CHEMISTRY, ETC., MAINTENANCE AND REPAIR 63;$3768.00;1/10/11;PERKINELMER LAS,INC;SHELTON  ;CT
DEPARTMENT OF HEALTH;LABORATORY EQUIPMENT AND ACCESSORIES: SPECIALIZED, BIOCHEMISTRY, BIOLOGY, CHEMISTRY, ETC., MAINTENANCE AND REPAIR 63;$4824.00;1/10/11;PERKINELMER LAS,INC;SHELTON  ;CT
STATE SUPERINTENDENT OF EDUCATION (OSSE);COMMUNICATIONS SYSTEMS, INTEGRATED (INCLUDES TELEPHONE, CLOCK, INTERCOM, ETC.) 15;$6687.13;1/10/11;THE NTI GROUP INC;SHERMAN OAKS  ;CA
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$69786.94;1/10/11;THEA BOWMAN PREPATORY ACADEMY;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$26588.55;1/10/11;THEA BOWMAN PREPATORY ACADEMY;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TAPE AND DISPENSERS, OFFICE TYPE 88;$48469.64;1/10/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;;$15800.00;1/10/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$31000.00;1/10/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CARTS, COMPUTER 23;$33764.39;1/10/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$5000.00;1/11/11;VIRGINIA N. DURRIN;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$3000.00;1/11/11;CHAJANA DENHARDER;WASHINGTON   ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$3577.64;1/11/11;JOSEPH YOUNG;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$17931.25;1/11/11;THE VIP GROUP, INC.;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$3000.00;1/11/11;WILLIAM WYTOLD LEBING;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$1552232.25;1/11/11;EAGLE ACADEMY PCS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$48470.19;1/11/11;MARY MCLEOD BETHUNE DAY ACAD.;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$745999.27;1/11/11;MARY MCLEOD BETHUNE DAY ACAD.;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;;$2950.00;1/11/11;THE HAMILTON GROUP;WASHINGTON  ;DC
DEPART OF YOUTH REHABILITATION SERVICES;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$4219.50;1/11/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$14345.00;1/11/11;HELANIUS J. WILKINS - EDGEWORK;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$5000.00;1/11/11;ASMARA GHEBREMICHAEL;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$5000.00;1/11/11;ADAM DAVIES;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$5000.00;1/11/11;BARBARA JOSEPHS LIOTTA;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$1967470.41;1/11/11;HOWARD ROAD ACADEMY PCS;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$531924.91;1/11/11;NIA COMMUNITY PCS;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$5324267.89;1/11/11;KIPP DC/KEY ACADEMY PCS;WASHINGTON  ;DC
PUBLIC CHARTER SCHOOLS;SCHOOL OPERATION AND MANAGEMENT SERVICES 71;$699572.44;1/11/11;HOWARD UNIVERSITY PCMS;WASHINGTON  ;DC
